Canzoni,IdCanzone,Titolo,Rilascio,Durata,Colore,IdArtista
Canzoni,97,Don:t try suicide,1980-06-30,232,#00ff40,3
Canzoni,98,Sail away sweet sister (To the sister I never had),1980-06-30,213,#00ff40,3
Canzoni,99,Coming soon,1980-06-30,171,#00ff40,3
Canzoni,100,Save me,1980-06-30,229,#00ff40,3
Canzoni,101,Welcome to the jungle,1987-07-21,281,#00ff80,4
Canzoni,102,It:s so easy,1987-07-21,201,#00ff80,4
Canzoni,103,Nightrain,1987-07-21,266,#00ff80,4
Canzoni,104,Out ta get me,1987-07-21,260,#00ff80,4
Canzoni,105,Mr. Brownstone,1987-07-21,226,#00ff80,4
Canzoni,106,Paradise city,1987-07-21,406,#00ff80,4
Canzoni,107,My Michelle,1987-07-21,219,#00ff80,4
Canzoni,108,Think about you,1987-07-21,230,#00ff80,4
Canzoni,109,Sweet child o: mine,1987-07-21,355,#00ff80,4
Canzoni,110,You:re crazy,1987-07-21,205,#00ff80,4
Canzoni,111,Anything goes,1987-07-21,205,#00ff80,4
Canzoni,112,Rocket queen,1987-07-21,373,#00ff80,4
Canzoni,113,Reckless life,1988-11-29,200,#00ffbf,4
Canzoni,114,Nice boys,1988-11-29,183,#00ffbf,4
Canzoni,115,Move to the city,1988-11-29,222,#00ffbf,4
Canzoni,116,Mama kin,1988-11-29,237,#00ffbf,4
Canzoni,117,Patience,1988-11-29,356,#00ffbf,4
Canzoni,118,Used to love her,1988-11-29,193,#00ffbf,4
Canzoni,119,You:re crazy,1988-11-29,250,#00ffbf,4
Canzoni,120,One in a million,1988-11-29,370,#00ffbf,4
Canzoni,121,Right next door to hell,1991-09-17,182,#00ffff,4
Canzoni,122,Dust N: Bones,1991-09-17,298,#00ffff,4
Canzoni,123,Live and let die,1991-09-17,184,#00ffff,4
Canzoni,124,Don:t cry,1991-09-17,284,#00ffff,4
Canzoni,125,Perfect crime,1991-09-17,143,#00ffff,4
Canzoni,126,You ain:t the first,1991-09-17,156,#00ffff,4
Canzoni,127,Bad obsession,1991-09-17,328,#00ffff,4
Canzoni,128,Back off bitch,1991-09-17,303,#00ffff,4
Canzoni,129,Double talkin: jive,1991-09-17,203,#00ffff,4
Canzoni,130,November rain,1991-09-17,537,#00ffff,4
Canzoni,131,The garden,1991-09-17,322,#00ffff,4
Canzoni,132,Garden of Eden,1991-09-17,281,#00ffff,4
Canzoni,133,Don:t damn me,1991-09-17,318,#00ffff,4
Canzoni,134,Bad apples,1991-09-17,268,#00ffff,4
Canzoni,135,Dead horse,1991-09-17,257,#00ffff,4
Canzoni,136,Coma,1991-09-17,613,#00ffff,4
Canzoni,137,Civil war,1991-09-17,463,#00bfff,4
Canzoni,138,14 years,1991-09-17,261,#00bfff,4
Canzoni,139,Yesterdays,1991-09-17,196,#00bfff,4
Canzoni,140,Knockin: on heaven:s door,1991-09-17,337,#00bfff,4
Canzoni,141,Get in the ring,1991-09-17,341,#00bfff,4
Canzoni,142,Shotgun blues,1991-09-17,203,#00bfff,4
Canzoni,143,Breakdown,1991-09-17,424,#00bfff,4
Canzoni,144,Pretty tied up,1991-09-17,288,#00bfff,4
Canzoni,145,Locomotive,1991-09-17,522,#00bfff,4
Canzoni,146,So fine,1991-09-17,247,#00bfff,4
Canzoni,147,Estranged,1991-09-17,563,#00bfff,4
Canzoni,148,You could be mine,1991-09-17,344,#00bfff,4
Canzoni,149,Don:t cry - Alternate lyrics,1991-09-17,284,#00bfff,4
Canzoni,150,My world,1991-09-17,84,#00bfff,4
Canzoni,151,Since I don:t have you,1993-11-23,258,#0080ff,4
Canzoni,152,New rose,1993-11-23,158,#0080ff,4
Canzoni,153,Down on the farm,1993-11-23,208,#0080ff,4
Canzoni,154,Human being,1993-11-23,408,#0080ff,4
Canzoni,155,Raw power,1993-11-23,191,#0080ff,4
Canzoni,156,Ain:t it fun,1993-11-23,305,#0080ff,4
Canzoni,157,Buick Makane,1993-11-23,160,#0080ff,4
Canzoni,158,Hair on the dog,1993-11-23,234,#0080ff,4
Canzoni,159,Attitude,1993-11-23,86,#0080ff,4
Canzoni,160,Black leather,1993-11-23,248,#0080ff,4
Canzoni,161,You can:t put your arms around a memory,1993-11-23,215,#0080ff,4
Canzoni,162,I don:t care about you,1993-11-23,291,#0080ff,4
Canzoni,163,Balliamo sul mondo,1990-05-11,273,#0040ff,5
Canzoni,164,Bambolina e barracuda,1990-05-11,314,#0040ff,5
Canzoni,165,Piccola stella senza cielo,1990-05-11,237,#0040ff,5
Canzoni,166,Marlon Brando e: sempre lui,1990-05-11,252,#0040ff,5
Canzoni,167,Non e: tempo per noi,1990-05-11,210,#0040ff,5
Canzoni,168,Bar Mario,1990-05-11,234,#0040ff,5
Canzoni,169,Sogni di Rock :N: Roll,1990-05-11,237,#0040ff,5
Canzoni,170,Radio radianti,1990-05-11,206,#0040ff,5
Canzoni,171,Freddo come in questa palude,1990-05-11,66,#0040ff,5
Canzoni,172,Angelo nella nebbia,1990-05-11,299,#0040ff,5
Canzoni,173,Figlio d:un cane,1990-05-11,173,#0040ff,5
Canzoni,174,Il muro del suono,2013-11-26,270,#0000ff,5
Canzoni,175,Siamo chi siamo,2013-11-26,256,#0000ff,5
Canzoni,176,Il volume delle tue bugie,2013-11-26,240,#0000ff,5
Canzoni,177,La neve se ne frega,2013-11-26,212,#0000ff,5
Canzoni,178,Il sale della terra,2013-11-26,238,#0000ff,5
Canzoni,179,Capo spartivento,2013-11-26,41,#0000ff,5
Canzoni,180,Tu sei lei,2013-11-26,263,#0000ff,5
Canzoni,181,Nati per vivere (Adesso e qui),2013-11-26,231,#0000ff,5
Canzoni,182,La terra trema; amore mio,2013-11-26,240,#0000ff,5
Canzoni,183,Per sempre,2013-11-26,232,#0000ff,5
Canzoni,184,Cio: che rimane di noi,2013-11-26,280,#0000ff,5
Canzoni,185,Il suono; il brutto e il cattivo,2013-11-26,40,#0000ff,5
Canzoni,186,Con la scusa del Rock:N:Roll,2013-11-26,207,#0000ff,5
Canzoni,187,Sono sempre i sogni a dare forma al mondo,2013-11-26,274,#0000ff,5
Canzoni,188,Vivo Morto o X,1995-09-21,257,#4000ff,5
Canzoni,189,Seduto in riva al fosso,1995-09-21,269,#4000ff,5
Canzoni,190,Buon compleanno; Elvis!,1995-09-21,246,#4000ff,5
Canzoni,191,La forza della banda,1995-09-21,261,#4000ff,5
Canzoni,192,Hai un momento; Dio?,1995-09-21,280,#4000ff,5
Canzoni,193,Rane a Rubiera blues,1995-09-21,63,#4000ff,5
Canzoni,194,Certe notti,1995-09-21,260,#4000ff,5
Canzoni,195,Viva!,1995-09-21,219,#4000ff,5
Canzoni,196,I ::ragazzi:: sono in giro,1995-09-21,262,#4000ff,5
Canzoni,197,Quella che non sei,1995-09-21,241,#4000ff,5
Canzoni,198,Non dovete badare al cantante,1995-09-21,216,#4000ff,5
Canzoni,199,Un figlio di nome Elvis,1995-09-21,241,#4000ff,5
Canzoni,200,Il cielo e: vuoto o il cielo e: pieno,1995-09-21,213,#4000ff,5
Canzoni,201,Leggero,1995-09-21,254,#4000ff,5
Canzoni,202,Ancora in piedi,1993-01-22,257,#8000ff,5
Canzoni,203,A.A.A. Qualcuno cercasi,1993-01-22,296,#8000ff,5
Canzoni,204,Ho messo via,1993-01-22,287,#8000ff,5
Canzoni,205,Dove fermano i treni,1993-01-22,204,#8000ff,5
Canzoni,206,I duri hanno due cuori,1993-01-22,249,#8000ff,5
Canzoni,207,La ballerina del carillon,1993-01-22,224,#8000ff,5
Canzoni,208,Prezoo,1993-01-22,40,#8000ff,5
Canzoni,209,Lo zoo e: qui,1993-01-22,239,#8000ff,5
Canzoni,210,Piccola citta: eterna,1993-01-22,305,#8000ff,5
Canzoni,211,Walter il mago,1993-01-22,259,#8000ff,5
Canzoni,212,Pane al pane,1993-01-22,216,#8000ff,5
Canzoni,213,Quando tocca a te,1993-01-22,334,#8000ff,5
Canzoni,214,Sopravvissuti e sopravviventi - Tema,1993-01-22,95,#8000ff,5
Canzoni,215,Intro,2005-09-16,67,#bf00ff,5
Canzoni,216,Il giorno dei giorni,2005-09-16,261,#bf00ff,5
Canzoni,217,Happy Hour,2005-09-16,254,#bf00ff,5
Canzoni,218,L:amore conta,2005-09-16,265,#bf00ff,5
Canzoni,219,Cosa vuoi che sia,2005-09-16,216,#bf00ff,5
Canzoni,220,Le donne lo sanno,2005-09-16,268,#bf00ff,5
Canzoni,221,Lettera a G,2005-09-16,321,#bf00ff,5
Canzoni,222,Vivere a orecchio,2005-09-16,240,#bf00ff,5
Canzoni,223,Giorno per giorno,2005-09-16,290,#bf00ff,5
Canzoni,224,E: piu: forte di me,2005-09-16,242,#bf00ff,5
Canzoni,225,Sono qui per l:amore,2005-09-16,288,#bf00ff,5
Canzoni,226,La nostra relazione,1978-05-25,180,#ff00ff,6
Canzoni,227,...E poi mi parli di una vita insieme,1978-05-25,267,#ff00ff,6
Canzoni,228,Silvia,1978-05-25,211,#ff00ff,6
Canzoni,229,Tu che dormivi piano (Volo: via),1978-05-25,257,#ff00ff,6
Canzoni,230,Jenny e: pazza,1978-05-25,431,#ff00ff,6
Canzoni,231,Ambarabaciccicocco:,1978-05-25,240,#ff00ff,6
Canzoni,232,Ed il tempo crea noi,1978-05-25,208,#ff00ff,6
Canzoni,233,Ciao,1978-05-25,82,#ff00ff,6
Canzoni,234,Io non so piu: cosa fare,1979-04-30,238,#ff00bf,6
Canzoni,235,Fregato; fegato spappolato,1979-04-30,195,#ff00bf,6
Canzoni,236,Sballi ravvicinati del terzo tipo,1979-04-30,309,#ff00bf,6
Canzoni,237,(Per quello che ho da fare) faccio il militare,1979-04-30,271,#ff00bf,6
Canzoni,238,(Per quello che ho da fare) faccio il militare - Reprise,1979-04-30,36,#ff00bf,6
Canzoni,239,La strega (La diva del sabato sera),1979-04-30,282,#ff00bf,6
Canzoni,240,Albachiara,1979-04-30,245,#ff00bf,6
Canzoni,241,Quindici anni fa,1979-04-30,310,#ff00bf,6
Canzoni,242,Va be: (Se proprio lo devo dire),1979-04-30,189,#ff00bf,6
Canzoni,243,Non l:hai mica capito,1980-04-03,231,#ff0080,6
Canzoni,244,Colpa d:Alfredo,1980-04-03,297,#ff0080,6
Canzoni,245,Susanna,1980-04-03,207,#ff0080,6
Canzoni,246,Anima fragile,1980-04-03,224,#ff0080,6
Canzoni,247,Alibi,1980-04-03,330,#ff0080,6
Canzoni,248,Sensazioni forti,1980-04-03,241,#ff0080,6
Canzoni,249,Tropico del cancro,1980-04-03,324,#ff0080,6
Canzoni,250,Asilo ::Republic::,1980-04-03,108,#ff0080,6
Canzoni,251,Siamo solo noi,1981-04-09,355,#ff0040,6
Canzoni,252,Incredibile romantica,1981-04-09,260,#ff0040,6
Canzoni,253,Dimentichiamoci questa citta:,1981-04-09,260,#ff0040,6
Canzoni,254,Voglio andare al mare,1981-04-09,220,#ff0040,6
Canzoni,255,Brava,1981-04-09,278,#ff0040,6
Canzoni,256,Ieri ho sgozzato mio figlio,1981-04-09,202,#ff0040,6
Canzoni,257,Che ironia,1981-04-09,229,#ff0040,6
Canzoni,258,Valium,1981-04-09,216,#ff0040,6
Canzoni,259,Sono ancora in coma,1982-04-13,178,#ff0000,6
Canzoni,260,Cosa ti fai,1982-04-13,168,#ff0000,6
Canzoni,261,Ogni volta,1982-04-13,256,#ff0000,6
Canzoni,262,Vado al massimo,1982-04-13,251,#ff0000,6
Canzoni,263,Credi davvero,1982-04-13,290,#ff0000,6
Canzoni,264,Amore... Aiuto,1982-04-13,282,#ff0000,6
Canzoni,265,Canzone,1982-04-13,257,#ff0000,6
Canzoni,266,Splendida giornata,1982-04-13,263,#ff0000,6
Canzoni,267,La noia,1982-04-13,250,#ff0000,6
Canzoni,268,Wollt ihr das bett In flammen sehen?,1995-09-25,317,#ff4000,7
Canzoni,269,Der meister,1995-09-25,250,#ff4000,7
Canzoni,270,Weisses fleisch,1995-09-25,215,#ff4000,7
Canzoni,271,Asche zu asche,1995-09-25,231,#ff4000,7
Canzoni,272,Seemann,1995-09-25,288,#ff4000,7
Canzoni,273,Du riechst so gut,1995-09-25,289,#ff4000,7
Canzoni,274,Das alte leid,1995-09-25,344,#ff4000,7
Canzoni,275,Heirate mich,1995-09-25,284,#ff4000,7
Canzoni,276,Herzeleid,1995-09-25,221,#ff4000,7
Canzoni,277,Laichzeit,1995-09-25,260,#ff4000,7
Canzoni,278,Rammstein,1995-09-25,265,#ff4000,7
Canzoni,279,Sehnsucht,1997-08-22,246,#ff8000,7
Canzoni,280,Engel,1997-08-22,266,#ff8000,7
Canzoni,281,Tier,1997-08-22,229,#ff8000,7
Canzoni,282,Bestrafe mich,1997-08-22,217,#ff8000,7
Canzoni,283,Du hast,1997-08-22,237,#ff8000,7
Canzoni,284,Buck dich,1997-08-22,204,#ff8000,7
Canzoni,285,Spiel mit mir,1997-08-22,285,#ff8000,7
Canzoni,286,Klavier,1997-08-22,266,#ff8000,7
Canzoni,287,Alter mann,1997-08-22,266,#ff8000,7
